"id","address","description","material","name","officehour","photo","process","since","tel","project","lat","lang","no","goods","business","category","before_name","gu","idx","instagramKeyword"
1063,"청계천로159","공업용청소기","청소기,무전기,오디오,가전제품","스피드통신","-","-","-","-","02-2269-5208","-","552199.461700 ","199575.484100 ","-","가전/통신","판매","-","-","종로구","1063","스피드통신"
1060,"청계천로159","뉴미디어아티스트발굴및전시지원","-","스페이스바421","-","-","전시","-","-","-","-","-","-","문화","기타","-","-","종로구","1060","스페이스바421"
1059,"을지로157","과학교구","과학교구","스팀사이언스","-","-","-","-","070-4410-1238","-","551955.303600 ","199609.518800 ","-","교육","개발/판매","-","-","중구","1059","스팀사이언스"
1058,"을지로157","-","-","스튜디오로쿠스솔루스","-","-","-","-","-","-","551929.2077","199612.9529","-","문화","기타","-","-","중구","1058","스튜디오로쿠스솔루스"
1057,"을지로157","-","-","스튜디오로쿠스솔루스","-","-","-","-","-","-","551929.1961","199612.8703","-","문화","기타","-","-","중구","1057","스튜디오로쿠스솔루스"
1055,"종로28길13","-","-","스타조명전시장","-","-","-","-","279-2225,269-3200","-","552255.1915","199605.5965","-","-","-","조명","-","종로구","1055","스타조명전시장"
1056,"종로152","예물전문,순금,백금,18k,14k,최고가매입","예물,순금,백금","스타주얼리","-","-","-","-","-","-","-","-","-","-","-","기타","-","종로구","1056","스타주얼리"
1047,"청계천로159","도청탐지기","도청탐지기,몰래카메라탐지기,위치추적기","스마일정보통신","-","-","-","-","010-4867-8245","-","-","-","-","통신","판매","-","-","종로구","1047","스마일정보통신"
1048,"종로154-1","코콤,코멕스번개표/전기통신자재","전구,조명,통신부품","스마트LED조명","-","-","-","-","2275-1700","-","-","-","-","-","-","조명","-","종로구","1048","스마트LED조명"
1049,"-","통신주,알루미늄,E.V.A","알루미늄,E.V.A(EVA)","스카시&채널","-","-","-","-","2263-2581,010-9455-6275","-","-","-","-","-","-","기타","우리스카시","-","1049","스카시&채널"
1050,"청계천로159","업무용/생활용/아마추어용무전기","무전기","스카이정보통신","-","-","-","-","02-2263-0116","-","552244.408400 ","199576.695900 ","-","통신","판매","-","-","종로구","1050","스카이정보통신"
1051,"을지로157","게임기","게임기","스타게임파크","-","-","-","-","02-2271-1213","-","551983.444800 ","199608.575800 ","-","오락기","판매","-","-","중구","1051","스타게임파크"
1052,"을지로157","게임기","게임기","스타게임파크","-","-","-","-","02-2271-1213","-","551983.444800 ","199608.575800 ","-","오락기","판매","-","-","중구","1052","스타게임파크"
1053,"을지로149","공구,열쇠","각종공구,열쇠","스타공구","-","-","-","-","2273-4883,2273-9422","-","-","-","-","-","-","기타","-","중구","1053","스타공구"
1054,"종로28길13","-","-","스타조명전시장","-","-","-","-","279-2225,269-3200","-","-","-","-","-","-","조명","-","종로구","1054","스타조명전시장"
1045,"청계천로159","방송장비및산업용장비수리","방송장비","슈퍼테크","-","-","-","-","02-2278-9690","-","552236.610300 ","199566.478700 ","-","기계","수리","-","-","종로구","1045","슈퍼테크"
1046,"을지로157","-","-","스가라","-","-","-","-","-","-","552003.5571","199609.0448","-","-","-","-","-","중구","1046","스가라"
1044,"청계천로159","다시세운공유공간","-","슈팅스튜디오","-","-","-","-","-","-","552182.537900 ","199587.513100 ","-","기타","기타","-","-","종로구","1044","슈팅스튜디오"
1043,"청계천로160","-","-","쉼터","-","-","-","-","-","-","552065.5698","199601.3839","-","기타","기타","-","-","중구","1043","쉼터"
1042,"을지로157","-","-","숙박업중구지회","-","-","-","-","-","-","551987.6848","199609.1499","-","기타","기타","-","-","중구","1042","숙박업중구지회"
1041,"-","특수바퀴,우레탄바퀴,운반차제작,각종고무바퀴,특수타이어","우레탄바퀴,특수바퀴","수창기업","-","-","-","-","2271-1948","-","-","-","-","-","-","기타","-","-","1041","수창기업"
1039,"종로26길8","인테리어.조명.LED제작.SMPS.전기자재.배관자재","조명,LED,LED조명,인테리어조명,배관부품,전기자재","수림전기조명","-","-","인테리어시공","-","2272-3581.2272-3582","-","-","-","-","-","-","조명","-","종로구","1039","수림전기조명"
1040,"청계천로159","마이크","마이크,반주기,스피커,앰프","수음향","-","-","-","-","02-2279-4338","-","552225.131600 ","199567.639200 ","-","음향","판매","-","-","종로구","1040","수음향"
1037,"청계천로159","TV","TV,라디오,오디오,진공관","수리수리협동조합","-","-","-","-","02-2261-4300","-","-","-","-","전자/교육","수리","-","-","종로구","1037","수리수리협동조합"
1038,"청계천로159","TV","TV,라디오,오디오,진공관","수리수리협동조합청음실","-","-","-","-","02-2271-1122","-","552177.988600 ","199558.509500 ","-","전자/교육","수리","-","-","종로구","1038","수리수리협동조합청음실"
1028,"을지로157","산업용전자제품","산업용장비","송산전자","-","-","-","-","02-2278-1774","-","552012.895400 ","199587.857700 ","-","전자","개발/판매","-","-","중구","1028","송산전자"
1027,"청계천로347","전통차","식음료","솔다방","-","-","-","-","02-2274-5505","-","-","-","-","F&B","판매","-","-","중구","1027","솔다방"
1026,"청계천로159","병풍","병풍,액자,자수재료,족자,폐백소품,표구","소품쟁이","-","-","-","-","02-2285-2082","-","552190.950000 ","199573.449100 ","-","기타","판매","-","-","종로구","1026","소품쟁이"
